Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Unnamed: 34
Federico Valverde,uy URU,MF,25,25.0,23,2025.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Jude Bellingham,eng ENG,"MF,FW",20,21.0,21,1778.0,16.0,3.0,19.0,15.0,1.0,1.0,5.0,0.0,Real-Madrid-Stats
Antonio Rudiger,de GER,DF,30,21.0,20,1796.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,Real-Madrid-Stats
Rodrygo,br BRA,FW,23,25.0,20,1710.0,8.0,4.0,12.0,8.0,0.0,1.0,2.0,0.0,Real-Madrid-Stats
Dani Carvajal,es ESP,DF,32,20.0,18,1554.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,Real-Madrid-Stats
Toni Kroos,de GER,MF,34,24.0,17,1560.0,1.0,7.0,8.0,1.0,0.0,0.0,2.0,0.0,Real-Madrid-Stats
Aurelien Tchouameni,fr FRA,"MF,DF",24,19.0,15,1349.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,Real-Madrid-Stats
Vinicius Junior,br BRA,FW,23,16.0,15,1182.0,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,Real-Madrid-Stats
David Alaba,at AUT,DF,31,14.0,14,1154.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Real-Madrid-Stats
Andriy Lunin,ua UKR,GK,25,13.0,13,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Eduardo Camavinga,fr FRA,"MF,DF",21,19.0,13,1132.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Real-Madrid-Stats
Ferland Mendy,fr FRA,DF,28,15.0,13,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Real-Madrid-Stats
Kepa Arrizabalaga,es ESP,GK,29,12.0,12,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Luka Modric,hr CRO,MF,38,20.0,11,1018.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Fran Garcia,es ESP,DF,24,18.0,11,1008.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Joselu,es ESP,FW,33,25.0,10,1173.0,8.0,2.0,10.0,8.0,0.0,2.0,0.0,0.0,Real-Madrid-Stats
Nacho,es ESP,DF,34,17.0,10,994.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Real-Madrid-Stats
Brahim Diaz,es ESP,"FW,MF",24,20.0,9,818.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Lucas Vazquez,es ESP,DF,32,19.0,8,832.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Dani Ceballos,es ESP,"MF,FW",27,12.0,1,234.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Real-Madrid-Stats
Eder Militao,br BRA,DF,26,1.0,1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Arda Guler,tr TUR,"FW,MF",18,3.0,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Nicolas Paz,ar ARG,"MF,FW",19,4.0,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Gonzalo Garcia,es ESP,"FW,MF",19,2.0,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real-Madrid-Stats
Lucas Canizares,es ESP,GK,21,0.0,0,,,,,,,,,,Real-Madrid-Stats
Alvaro Carrillo,es ESP,DF,21,0.0,0,,,,,,,,,,Real-Madrid-Stats
Fran Gonzalez,es ESP,GK,18,0.0,0,,,,,,,,,,Real-Madrid-Stats
Fran Gonzalez,es ESP,DF,25,0.0,0,,,,,,,,,,Real-Madrid-Stats
Mario de Luis,es ESP,GK,21,0.0,0,,,,,,,,,,Real-Madrid-Stats
Mario Martin,es ESP,MF,19,0.0,0,,,,,,,,,,Real-Madrid-Stats
Alvaro Odriozola,es ESP,DF,28,0.0,0,,,,,,,,,,Real-Madrid-Stats
Diego Pineiro,es ESP,GK,20,0.0,0,,,,,,,,,,Real-Madrid-Stats
Edgar Pujol,es ESP,DF,19,0.0,0,,,,,,,,,,Real-Madrid-Stats
Jacobo Ramon,es ESP,DF,19,0.0,0,,,,,,,,,,Real-Madrid-Stats
Vinicius Tobias,br BRA,DF,19,0.0,0,,,,,,,,,,Real-Madrid-Stats
Theo Zidane,fr FRA,MF,21,0.0,0,,,,,,,,,,Real-Madrid-Stats
Squad Total,,,28.0,25.0,275,2250.0,53.0,41.0,94.0,52.0,1.0,4.0,46.0,3.0,Real-Madrid-Stats
Opponent Total,,,27.8,25.0,275,2250.0,15.0,10.0,25.0,14.0,1.0,1.0,69.0,0.0,Real-Madrid-Stats
Paulo Gazzaniga,ar ARG,GK,32,25.0,25,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Girona-Stats
Aleix Garcia,es ESP,MF,26,24.0,24,2138.0,3.0,5.0,8.0,3.0,0.0,0.0,2.0,1.0,Girona-Stats
Miguel Gutierrez,es ESP,"DF,MF",22,24.0,24,2131.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,Girona-Stats
Savio,br BRA,"MF,FW",19,25.0,24,1994.0,5.0,7.0,12.0,5.0,0.0,0.0,3.0,0.0,Girona-Stats
Daley Blind,nl NED,DF,33,23.0,22,1982.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,Girona-Stats
Ivan Martin,es ESP,"MF,FW",25,24.0,22,1794.0,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,Girona-Stats
Artem Dovbyk,ua UKR,FW,26,23.0,19,1493.0,14.0,5.0,19.0,11.0,3.0,3.0,1.0,0.0,Girona-Stats
Yangel Herrera,ve VEN,MF,26,19.0,18,1425.0,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,Girona-Stats
Yan Couto,br BRA,"DF,MF",21,23.0,17,1515.0,1.0,6.0,7.0,1.0,0.0,0.0,5.0,0.0,Girona-Stats
Eric Garcia,es ESP,DF,23,17.0,17,1490.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Girona-Stats
Viktor Tsyhankov,ua UKR,"MF,FW",26,20.0,17,1369.0,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,Girona-Stats
David Lopez,es ESP,"DF,MF",34,15.0,15,1188.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,Girona-Stats
Arnau Martinez,es ESP,DF,20,15.0,12,992.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Girona-Stats
Cristhian Stuani,uy URU,FW,37,23.0,5,684.0,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,Girona-Stats
